match_name,match_level,match_date,shooter_name,shooter_div,shooter_class,shooter_pf,shooter_cat,stg_n,hf,time,pts,a,c,d,ded,mi,ns,pe,ot
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,1,0.4822,20.74,10,11,4,3,0,6,0,0,
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,2,1.3329,27.76,37,7,4,0,0,1,0,0,
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,3,3.7626,37.74,142,24,7,1,0,0,0,0,
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,4,0.0,0.0,0,0,0,0,0,0,0,0,
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,5,0.0,0.0,0,0,0,0,0,0,0,0,
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,6,0.0,0.0,0,0,0,0,0,0,0,0,
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,7,0.0,0.0,0,0,0,0,0,0,0,0,
ma5_2_2025,2,2025-02-23,"DEL CANUTO, ANDREA",S,C,Minor,S,8,0.0,0.0,0,0,0,0,0,0,0,0,
ma5_2_2025,2,2025-02-23,"FORTE, CARLO",S,C,Minor,SS,1,2.2659,36.63,83,14,7,2,0,1,0,0,
ma5_2_2025,2,2025-02-23,"FORTE, CARLO",S,C,Minor,SS,2,0.8171,31.82,26,8,2,0,0,2,0,0,
ma5_2_2025,2,2025-02-23,"FORTE, CARLO",S,C,Minor,SS,3,3.2936,46.15,152,28,4,0,0,0,0,0,
ma5_2_2025,2,2025-02-23,"FORTE, CARLO",S,C,Minor,SS,4,1.94,48.97,95,18,5,0,0,1,0,0,
ma5_2_2025,2,2025-02-23,"FORTE, CARLO",S,C,Minor,SS,5,1.5189,28.31,43,10,1,0,0,1,0,0,
ma5_2_2025,2,2025-02-23,"FORTE, CARLO",S,C,Minor,SS,6,1.8047,31.03,56,10,2,0,0,0,0,0,
